Response Times,YTD,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
< 1:00,294,32,13,14,30,27,17,21,33,35,30,25,17
1:00  to  1:59,989,90,78,57,77,59,69,89,89,114,109,86,72
2:00  to  2:59,1296,172,88,81,90,81,76,86,126,134,160,105,97
3:00  to  3:59,1127,126,86,68,91,65,80,107,101,109,115,94,85
4:00  to  4:59,690,73,57,68,55,57,47,58,79,58,55,46,37
5:00  to  5:59,457,52,38,44,28,43,35,35,32,40,36,37,37
6:00  to  6:59,227,28,13,15,18,16,17,20,17,19,26,15,23
7:00  to  7:59,117,20,4,12,6,15,10,12,11,3,10,7,7
8:00  to  8:59,54,6,2,3,4,5,4,5,6,8,5,4,2
9:00  to  9:59,27,4,2,3,3,3,3,3,1,2,0,1,2
10:00  to  10:59,16,2,2,0,3,2,2,2,0,1,1,0,1
11:00  to  11:59,7,1,0,0,2,2,0,0,1,0,0,0,1
12:00 to 12:59,10,0,0,0,1,1,2,1,2,1,1,0,1
13:00 to 13:59,5,0,0,0,0,1,0,0,1,1,0,0,2
14:00 to 14:59,0,0,0,0,0,0,0,0,0,0,0,0,0
15:00 to 15:59,3,0,1,1,0,0,0,0,0,1,0,0,0
16:00 to 16:59,1,0,0,0,0,0,0,0,1,0,0,0,0
17:00 to 17:59,3,0,0,0,0,2,0,0,0,0,0,1,0
18:00 to 18:59,0,0,0,0,0,0,0,0,0,0,0,0,0
19:00 to 19:59,0,0,0,0,0,0,0,0,0,0,0,0,0
20:00 +,6,2,0,1,1,0,0,0,0,0,1,1,0
