"STATION","NAME","DATE","AWND","TAVG"
"US1NYCQ0005","KENNEDY 0.3 NE, NY US","2020-02-05",,
"US1NYCQ0005","KENNEDY 0.3 NE, NY US","2020-03-12",,
"US1NYCQ0005","KENNEDY 0.3 NE, NY US","2020-03-13",,
"US1NYCQ0005","KENNEDY 0.3 NE, NY US","2020-03-14",,
"US1NYCQ0005","KENNEDY 0.3 NE, NY US","2020-03-15",,
"US1NYCQ0005","KENNEDY 0.3 NE, NY US","2020-03-16",,
"US1NYCQ0005","KENNEDY 0.3 NE, NY US","2020-03-17",,
"US1NYCQ0005","KENNEDY 0.3 NE, NY US","2020-03-18",,
"US1NYCQ0005","KENNEDY 0.3 NE, NY US","2020-03-19",,
"US1NYCQ0005","KENNEDY 0.3 NE, NY US","2020-03-20",,
"US1NYCQ0005","KENNEDY 0.3 NE, NY US","2020-03-21",,
"US1NYCQ0005","KENNEDY 0.3 NE, NY US","2020-03-22",,
"US1NYCQ0005","KENNEDY 0.3 NE, NY US","2020-03-23",,
"US1NYCQ0005","KENNEDY 0.3 NE, NY US","2020-03-24",,
"US1NYCQ0005","KENNEDY 0.3 NE, NY US","2020-03-25",,
"US1NYCQ0005","KENNEDY 0.3 NE, NY US","2020-03-26",,
"US1NYCQ0005","KENNEDY 0.3 NE, NY US","2020-03-27",,
"US1NYCQ0005","KENNEDY 0.3 NE, NY US","2020-03-28",,
"US1NYCQ0005","KENNEDY 0.3 NE, NY US","2020-03-29",,
"US1NYCQ0005","KENNEDY 0.3 NE, NY US","2020-03-30",,
"US1NYCQ0005","KENNEDY 0.3 NE, NY US","2020-03-31",,
"US1NYCQ0005","KENNEDY 0.3 NE, NY US","2020-04-01",,
"US1NYCQ0005","KENNEDY 0.3 NE, NY US","2020-04-02",,
"US1NYCQ0005","KENNEDY 0.3 NE, NY US","2020-04-03",,
"US1NYCQ0005","KENNEDY 0.3 NE, NY US","2020-04-04",,
"US1NYCQ0005","KENNEDY 0.3 NE, NY US","2020-04-05",,
"US1NYCQ0005","KENNEDY 0.3 NE, NY US","2020-04-06",,
"US1NYCQ0005","KENNEDY 0.3 NE, NY US","2020-04-07",,
